City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
392,Campo Verde,BR,81.61,broken clouds,-20.4167,-54.0667,
393,Point Pedro,LK,79.66,scattered clouds,9.8167,80.2333,
397,Saint-Leu,RE,79.63,clear sky,-21.15,55.2833,
400,Icatu,BR,82.83,heavy intensity rain,-2.7758,-44.0658,
404,Tirumullaivasal,IN,79.11,broken clouds,11.2333,79.8333,
411,Acu,BR,78.26,clear sky,-5.5767,-36.9086,
445,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,
446,Kihei,US,77.02,scattered clouds,20.785,-156.4656,
447,Cairns,AU,87.75,scattered clouds,-16.9167,145.7667,
449,Viedma,AR,78.85,clear sky,-40.8135,-62.9967,
453,San-Pedro,CI,75.79,overcast clouds,4.7485,-6.6363,
454,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,
455,Koumac,NC,85.35,overcast clouds,-20.5667,164.2833,
456,Kudahuvadhoo,MV,81.37,broken clouds,2.6708,72.8944,
461,Kirakira,SB,80.28,overcast clouds,-10.4544,161.9205,
463,Fare,PF,81.34,overcast clouds,-16.7,-151.0167,
466,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,
473,Santa Rita,BR,79.47,few clouds,-7.1139,-34.9781,
477,Banda Aceh,ID,82.98,broken clouds,5.5577,95.3222,
479,Kiama,AU,84.38,overcast clouds,-34.6833,150.8667,
483,Cooma,AU,86.32,broken clouds,-36.2333,149.1333,
485,Nisia Floresta,BR,81.41,clear sky,-6.0911,-35.2086,
496,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,
499,Port Moresby,PG,89.02,haze,-9.4431,147.1797,
500,San Andres,CO,80.62,few clouds,12.5847,-81.7006,
501,Manado,ID,84.97,scattered clouds,1.487,124.8455,
504,Kilindoni,TZ,80.89,overcast clouds,-7.9139,39.6668,
506,Tondano,ID,77.09,overcast clouds,1.3038,124.9112,
509,Pemangkat,ID,81.52,overcast clouds,1.1667,108.9667,
511,Kalianget,ID,79.92,light rain,-7.05,113.9333,
524,Pandan,PH,82.22,overcast clouds,14.0453,124.1694,
537,Meulaboh,ID,82.29,overcast clouds,4.1363,96.1285,
539,Metro,ID,76.96,overcast clouds,-5.1131,105.3067,
544,Gizo,SB,84.18,light rain,-8.103,156.8419,
551,Launceston,AU,82.62,overcast clouds,-41.45,147.1667,
552,Martapura,ID,89.69,few clouds,-3.4167,114.85,
554,Myanaung,MM,77.54,few clouds,18.2833,95.3167,
557,Bang Saphan,TH,85.95,broken clouds,11.2126,99.5117,
558,Lodwar,KE,79.3,clear sky,3.1191,35.5973,
560,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,
570,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,
574,Calamar,CO,80.55,clear sky,10.2511,-74.9146,
579,Acajutla,SV,81.81,clear sky,13.5928,-89.8275,
581,Omboue,GA,78.12,overcast clouds,-1.5746,9.2618,
583,San Policarpo,PH,81.75,overcast clouds,12.1791,125.5072,
584,Kpandae,GH,83.17,overcast clouds,8.4689,-0.0113,
605,Soc Trang,VN,85.96,scattered clouds,9.6033,105.98,
616,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,
617,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,
619,Lhokseumawe,ID,83.14,broken clouds,5.1801,97.1507,
623,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,
629,Hukuntsi,BW,78.55,overcast clouds,-24.0,21.75,
630,Ribas Do Rio Pardo,BR,75.4,broken clouds,-20.4431,-53.7592,
643,Salinopolis,BR,77.95,moderate rain,-0.6136,-47.3561,
645,Pak Phanang,TH,87.04,broken clouds,8.3511,100.202,
648,Sao Jose Da Coroa Grande,BR,79.48,scattered clouds,-8.8978,-35.1478,
651,Kiunga,PG,88.25,few clouds,-6.1219,141.2906,
653,Port Shepstone,ZA,75.0,overcast clouds,-30.7414,30.455,
659,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,
661,Uribia,CO,77.25,clear sky,11.7139,-72.266,
665,Careiro Da Varzea,BR,77.63,light rain,-3.2003,-59.8119,
666,Hervey Bay,AU,83.03,light rain,-25.2986,152.8535,
668,Axim,GH,78.24,overcast clouds,4.8699,-2.2405,
669,Japura,ID,86.81,broken clouds,-0.3167,102.35,
670,Flinders,AU,84.18,overcast clouds,-34.5833,150.8552,
674,Takoradi,GH,78.37,overcast clouds,4.8845,-1.7554,
675,Vao,NC,80.47,overcast clouds,-22.6667,167.4833,
677,Aitape,PG,85.42,overcast clouds,-3.1374,142.3475,
681,Emerald,AU,89.35,clear sky,-23.5333,148.1667,
686,Morondava,MG,77.86,few clouds,-20.2833,44.2833,
688,Baturaja,ID,82.53,light rain,-4.1333,104.1667,
691,Poum,NC,83.05,overcast clouds,-20.2333,164.0167,
692,Lazaro Cardenas,MX,76.59,overcast clouds,17.9583,-102.2,
