,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Muzhi,RU,65.3667,64.6667,-22.83,100,100,3.0,overcast clouds
79,Khatanga,RU,71.9667,102.5,-27.47,100,49,2.8,scattered clouds
80,Kaitangata,NZ,-46.2817,169.8464,60.93,69,99,7.14,overcast clouds
81,Lebu,CL,-37.6167,-73.65,56.88,92,98,6.38,overcast clouds
82,Sehithwa,BW,-20.4667,22.7167,68.45,78,3,2.68,clear sky
83,Ribeira Grande,PT,38.5167,-28.7,57.94,68,100,3.0,overcast clouds
84,Pacific Grove,US,36.6177,-121.9166,66.16,89,100,1.99,fog
85,Codrington,AU,-38.2667,141.9667,71.91,59,21,11.12,few clouds
86,Barrow,US,71.2906,-156.7887,-27.38,68,0,8.05,clear sky
87,Vershino-Darasunskiy,RU,52.35,115.5167,-7.55,81,49,3.53,scattered clouds
88,Marawi,PH,7.9986,124.2928,72.64,51,93,3.47,overcast clouds
89,Bluff,NZ,-46.6,168.3333,58.78,62,100,3.44,overcast clouds
90,La Ronge,CA,55.1001,-105.2842,1.65,85,40,3.44,scattered clouds
91,Boueni,YT,-12.9025,45.0761,76.98,73,15,1.39,few clouds
92,Kapoeta,SS,4.7717,33.5903,80.98,31,99,6.91,overcast clouds
93,Hasaki,JP,35.7333,140.8333,43.29,56,100,25.75,overcast clouds
94,Castro,BR,-24.7911,-50.0119,64.4,90,89,1.88,overcast clouds
95,Peace River,CA,56.2501,-117.286,23.31,79,100,11.5,overcast clouds
96,Provideniya,RU,64.3833,-173.3,-5.69,65,0,11.18,clear sky
97,Dire,ML,12.2833,-10.9667,70.5,17,67,0.16,broken clouds
98,Iturbe,PY,-26.05,-56.4833,72.32,59,0,4.34,clear sky
99,Hilo,US,19.7297,-155.09,76.24,74,0,8.05,clear sky
100,Santa Rosa,PH,14.3122,121.1114,86.09,67,33,7.87,scattered clouds
101,Matamoros,MX,25.5333,-103.25,57.31,34,40,3.44,scattered clouds
102,Kapaa,US,22.0752,-159.319,78.78,65,0,18.41,clear sky
103,Dikson,RU,73.5069,80.5464,-5.51,90,82,23.29,broken clouds
104,Narsaq,GL,60.9167,-46.05,23.22,96,100,6.02,snow
105,Hamilton,US,39.1834,-84.5333,20.41,77,0,8.05,clear sky
106,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,16.11,scattered clouds
107,Yuzhnyy,RU,53.2542,83.6936,23.38,80,75,13.42,light snow
108,Carbondale,US,37.7273,-89.2168,27.0,77,0,6.91,clear sky
109,Isla Mujeres,MX,21.2311,-86.731,68.16,73,31,20.18,scattered clouds
110,Waipawa,NZ,-41.4122,175.5153,61.45,70,100,13.18,overcast clouds
111,Chuy,UY,-33.6971,-53.4616,58.37,66,6,8.66,clear sky
112,Mount Gambier,AU,-37.8333,140.7667,75.83,49,17,9.17,few clouds
113,San Vicente,AR,-26.6167,-54.1333,65.71,77,0,2.89,light rain
114,Taltal,CL,-25.4,-70.4833,67.91,78,3,3.56,clear sky
115,Jaen,ES,38.0,-3.5,52.43,82,100,9.95,overcast clouds
116,Cidreira,BR,-30.1811,-50.2056,68.68,88,24,3.4,few clouds
117,Busselton,AU,-33.65,115.3333,85.05,43,0,7.34,clear sky
118,Mercedes,AR,-34.6515,-59.4307,65.52,54,0,6.04,clear sky
119,Verkhnyaya Inta,RU,65.9811,60.3094,-0.94,92,93,5.08,overcast clouds
120,Tual,ID,-5.6667,132.75,81.03,75,82,8.37,broken clouds
121,Douentza,ML,14.9951,-2.9517,64.53,16,3,7.49,clear sky
122,Jalu,LY,29.0331,21.5482,51.87,60,0,5.88,clear sky
123,Portland,US,45.5234,-122.6762,56.61,67,100,9.22,overcast clouds
124,Ancud,CL,-41.8697,-73.8203,59.43,95,8,1.39,clear sky
125,Thompson,CA,55.7435,-97.8558,-22.65,100,56,4.52,broken clouds
126,Bubaque,GW,11.2833,-15.8333,78.03,59,0,3.91,clear sky
127,Coos Bay,US,43.3665,-124.2179,52.86,95,100,5.75,overcast clouds
128,Qaanaaq,GL,77.484,-69.3632,-8.32,69,74,7.16,broken clouds
129,Wanaka,NZ,-44.7,169.15,72.1,39,97,3.0,overcast clouds
130,Coquimbo,CL,-29.9533,-71.3436,64.13,77,0,4.61,clear sky
131,Naze,JP,28.3667,129.4833,58.12,76,100,19.22,overcast clouds
132,Cerrito,CO,6.8432,-72.694,51.19,88,88,3.27,overcast clouds
133,Berezanka,UA,46.8526,31.388,19.81,65,16,6.42,few clouds
134,Arraial Do Cabo,BR,-22.9661,-42.0278,75.24,92,11,15.43,few clouds
135,Niksar,TR,40.5917,36.9517,35.87,91,100,1.57,overcast clouds
136,Hobyo,SO,5.3505,48.5268,76.08,71,63,15.9,broken clouds
137,Lewiston,US,44.1003,-70.2148,22.48,57,0,10.36,clear sky
138,Pisco,PE,-13.7,-76.2167,68.05,77,0,9.22,clear sky
139,Hirara,JP,24.8,125.2833,66.47,77,75,23.02,broken clouds
140,Riyadh,SA,24.6877,46.7219,46.54,35,0,8.01,clear sky
141,Mackay,AU,-21.15,149.2,88.68,71,49,21.14,scattered clouds
142,Korla,CN,41.7597,86.1469,29.82,48,9,2.26,clear sky
